Sl no.,Type,Company Name,Address
144,Electric vehicle charging station,Electric Vehicle Charging Station,"%u0995%u09B2%u0995%u09BE%u09A4%u09BE, Ghuni Rd, Action Area IIE, Newtown, New Town, West Bengal 700157"
145,Electric vehicle charging station,Electric Vehicle Charging Station,"Malancha Housing, Action Area IIB, Rekjuani, Kolkata, West Bengal 700135"
146,Electric vehicle charging station,Electric Vehicle Charging Station,"Shapoorji Bus Terminus, Action Area III, Newtown, Kolkata, West Bengal 700135"
147,Electric vehicle charging station,Electric Vehicle Charging Station,"Parking Lot Golf Club, Gate no. 6, Ecopark, Deshbandhu Nagar, Rekjuani, West Bengal 700156"
148,Electric vehicle charging station,Electric Vehicle Charging Station,"Nawabpur (New Town, Action Area IIE, Rekjuani, Kolkata, West Bengal 700135"
149,Electric vehicle charging station,Hero Electric Charging Station,"109/1/F Girish Ghosh Road, Howrah, Kolkata, West Bengal 711202"
150,Electric vehicle charging station,Electric Vehicle Charging Station,"Mehman Kolkata Restaurant, BF Block(Newtown), Action Area 1B, Newtown, NKDA, West Bengal 700156"
151,Electric vehicle charging station,Hero Electric Charging Station,"Chetla Hut Road, Kalighat, West Bengal 700027"
152,Electric vehicle charging station,Hero Electric Charging Station,"Sen Mukherjee Bagan, 1, Diamond Harbour Rd, Pora Aswathatola, Paschim Barisha, Kolkata, West Bengal 700063"
153,Electric vehicle charging station,EV Charging Solution,"2nd Floor, Room 24C, Gajraj Chamber, 86B/2, Topsia Rd, Topsia, Kolkata, West Bengal 700046"
154,Electric vehicle charging station,Electric Vehicle Charging Station,"1021, Janoki,opposite to SBI Bank, JN Bose Rd, Kodalla, Rajpur Sonarpur, Kolkata, West Bengal 700146"
155,Electric vehicle charging station,Hero Electric Charging Station,"295 G.T Road Belur Howrah, Howrah, Kolkata, West Bengal 711202"
156,,,
157,Electric vehicle charging station,EESL Charging Station,"Street Number 24, Sub-Central Business District(Action Area 1), Action Area I, Newtown, New Town, West Bengal 700156"
158,Electric vehicle charging station,Mahindra Charging Station,"Near Tank No 3, Opp Goutams, Street Number 24, Action Area I, New Town, West Bengal 700156"
159,Electric vehicle charging station,Electric Vehicle Charging Station,"Street Number 30, AF Block(Newtown), Action Area I, New Town, West Bengal 700059"
160,Electric vehicle charging station,Electric Vehicle Charging Station,"Under, Maa Flyover, near Charcoal grill Restaurant, Park Circus, at, Kolkata, West Bengal 700017"
161,Electric vehicle charging station,Electric Vehicle Charging Station,"63, Khudiram Bose Rd, Birendranagar Colony, Belgachia, Kolkata, West Bengal 700037"
162,Electric vehicle charging station,Electric Vehicle Charging Station,"Mehman Kolkata Restaurant, BF Block(Newtown), Action Area 1B, Newtown, NKDA, West Bengal 700156"
163,Electric vehicle charging station,Electric Vehicle Charging Station,"292, R N Guha Road, Dumdum Nagerbazar, Kolkata, West Bengal 700028"
164,Electric vehicle charging station,Electric Vehicle Charging Station,"Millenium Tower, Major Arterial Road(South-East), International Finalcial Hub(CBD), Kadampukur Village, Newtown, Kolkata, West Bengal 700156"
165,Electric vehicle charging station,EESL Charging Station,"Tata Cancer Hospital, DH Block(Newtown), Action Area 1D, Newtown, New Town, West Bengal 700156"
166,Electric vehicle charging station,Mahindra Charging Station,"HFP4+4QC, AE Block(Newtown), Newtown, New Town, West Bengal 700059"
167,Electric vehicle charging station,Electric Vehicle Charging Station,"NH34, Jatragachhi, Deshbandhu Nagar, Newtown, Kolkata, West Bengal 700156"
168,Electric vehicle charging station,NKDA Charging Station,"Unnamed Road, Jatragachhi, Deshbandhu Nagar, Rekjuani, Kolkata, West Bengal 700156"
169,Electric vehicle charging station,Electric Vehicle Charging Station,"%u0995%u09B2%u0995%u09BE%u09A4%u09BE, Ghuni Rd, Action Area IIE, Newtown, New Town, West Bengal 700157"
170,Electric vehicle charging station,Electric Vehicle Charging Station,"Automall, Service Rd, Action Area II, Tali Park, Action Area IID, New Town, West Bengal 700052"
171,Electric vehicle charging station,Electric Vehicle Charging Point,"Plot No.2C, Premises No.10, 097, Street Number 110, BA Block(Newtown), Action Area I, Newtown, New Town, West Bengal 700156"
172,Electric vehicle charging station,Electric Vehicle Charging Station,"Opp.Lake Police Stn./ Indian Oil Corp. H.O, Jodhpur Park, Kolkata, West Bengal 700068"
173,Electric vehicle charging station,Electric Vehicle Charging Station,"Second Floor 1644, Rajdanga Pally, EKTP Phase 3, Sector G, East Kolkata Twp, Kolkata, West Bengal 700107"
174,Electric vehicle charging station,Electric Vehicle Charging Station,"111a, Rishi Bankim Chandra Road, Mahendra Colony, Cantonment, Rajbari, Dum Dum, Kolkata, West Bengal 700028"
175,Electric vehicle charging station,Electric Vehicle Charging Station,"10, Mahendra Colony, Cantonment, Rajbari, Dum Dum, Kolkata, West Bengal 700028"
176,Electric vehicle charging station,Electric Vehicle Charging Station,"Nawabpur (New Town, Action Area IIE, Rekjuani, Kolkata, West Bengal 700135"
177,Electric vehicle charging station,EESL Charging Station,"Street Number 24, Sub-Central Business District(Action Area 1), Action Area I, Newtown, New Town, West Bengal 700156"
178,Electric vehicle charging station,Mahindra Charging Station,"Near Tank No 3, Opp Goutams, Street Number 24, Action Area I, New Town, West Bengal 700156"
179,Electric vehicle charging station,Electric Vehicle Charging Station,"Street Number 30, AF Block(Newtown), Action Area I, New Town, West Bengal 700059"
180,Electric vehicle charging station,Electric Vehicle Charging Station,"Under, Maa Flyover, near Charcoal grill Restaurant, Park Circus, at, Kolkata, West Bengal 700017"
181,Electric vehicle charging station,Electric Vehicle Charging Station,"63, Khudiram Bose Rd, Birendranagar Colony, Belgachia, Kolkata, West Bengal 700037"
182,Electric vehicle charging station,Electric Vehicle Charging Station,"Mehman Kolkata Restaurant, BF Block(Newtown), Action Area 1B, Newtown, NKDA, West Bengal 700156"
183,Electric vehicle charging station,Electric Vehicle Charging Station,"292, R N Guha Road, Dumdum Nagerbazar, Kolkata, West Bengal 700028"
184,Electric vehicle charging station,Electric Vehicle Charging Station,"Millenium Tower, Major Arterial Road(South-East), International Finalcial Hub(CBD), Kadampukur Village, Newtown, Kolkata, West Bengal 700156"
185,Electric vehicle charging station,EESL Charging Station,"Tata Cancer Hospital, DH Block(Newtown), Action Area 1D, Newtown, New Town, West Bengal 700156"
186,Electric vehicle charging station,Mahindra Charging Station,"HFP4+4QC, AE Block(Newtown), Newtown, New Town, West Bengal 700059"
187,Electric vehicle charging station,Electric Vehicle Charging Station,"NH34, Jatragachhi, Deshbandhu Nagar, Newtown, Kolkata, West Bengal 700156"
188,Electric vehicle charging station,NKDA Charging Station,"Unnamed Road, Jatragachhi, Deshbandhu Nagar, Rekjuani, Kolkata, West Bengal 700156"
189,Electric vehicle charging station,Electric Vehicle Charging Station,"%u0995%u09B2%u0995%u09BE%u09A4%u09BE, Ghuni Rd, Action Area IIE, Newtown, New Town, West Bengal 700157"
190,Electric vehicle charging station,Electric Vehicle Charging Station,"Automall, Service Rd, Action Area II, Tali Park, Action Area IID, New Town, West Bengal 700052"
191,Electric vehicle charging station,Electric Vehicle Charging Point,"Plot No.2C, Premises No.10, 097, Street Number 110, BA Block(Newtown), Action Area I, Newtown, New Town, West Bengal 700156"
192,Electric vehicle charging station,Electric Vehicle Charging Station,"Opp.Lake Police Stn./ Indian Oil Corp. H.O, Jodhpur Park, Kolkata, West Bengal 700068"
193,Electric vehicle charging station,Electric Vehicle Charging Station,"Second Floor 1644, Rajdanga Pally, EKTP Phase 3, Sector G, East Kolkata Twp, Kolkata, West Bengal 700107"
194,Electric vehicle charging station,Electric Vehicle Charging Station,"111a, Rishi Bankim Chandra Road, Mahendra Colony, Cantonment, Rajbari, Dum Dum, Kolkata, West Bengal 700028"
195,Electric vehicle charging station,Electric Vehicle Charging Station,"10, Mahendra Colony, Cantonment, Rajbari, Dum Dum, Kolkata, West Bengal 700028"
196,Electric vehicle charging station,Electric Vehicle Charging Station,"Nawabpur (New Town, Action Area IIE, Rekjuani, Kolkata, West Bengal 700135"
197,Electric vehicle charging station,EESL Charging Station,"Street Number 24, Sub-Central Business District(Action Area 1), Action Area I, Newtown, New Town, West Bengal 700156"
198,Electric vehicle charging station,Mahindra Charging Station,"Near Tank No 3, Opp Goutams, Street Number 24, Action Area I, New Town, West Bengal 700156"
199,Electric vehicle charging station,Electric Vehicle Charging Station,"Street Number 30, AF Block(Newtown), Action Area I, New Town, West Bengal 700059"
200,Electric vehicle charging station,Electric Vehicle Charging Station,"Under, Maa Flyover, near Charcoal grill Restaurant, Park Circus, at, Kolkata, West Bengal 700017"
201,Electric vehicle charging station,Electric Vehicle Charging Station,"63, Khudiram Bose Rd, Birendranagar Colony, Belgachia, Kolkata, West Bengal 700037"
202,Electric vehicle charging station,Electric Vehicle Charging Station,"Mehman Kolkata Restaurant, BF Block(Newtown), Action Area 1B, Newtown, NKDA, West Bengal 700156"
203,Electric vehicle charging station,Electric Vehicle Charging Station,"292, R N Guha Road, Dumdum Nagerbazar, Kolkata, West Bengal 700028"
204,Electric vehicle charging station,Electric Vehicle Charging Station,"Millenium Tower, Major Arterial Road(South-East), International Finalcial Hub(CBD), Kadampukur Village, Newtown, Kolkata, West Bengal 700156"
205,Electric vehicle charging station,EESL Charging Station,"Tata Cancer Hospital, DH Block(Newtown), Action Area 1D, Newtown, New Town, West Bengal 700156"
206,Electric vehicle charging station,Mahindra Charging Station,"HFP4+4QC, AE Block(Newtown), Newtown, New Town, West Bengal 700059"
207,Electric vehicle charging station,Electric Vehicle Charging Station,"NH34, Jatragachhi, Deshbandhu Nagar, Newtown, Kolkata, West Bengal 700156"
208,Electric vehicle charging station,,
209,Electric vehicle charging station,EESL Charging Station,"Street Number 24, Sub-Central Business District(Action Area 1), Action Area I, Newtown, New Town, West Bengal 700156"
210,Electric vehicle charging station,Mahindra Charging Station,"Near Tank No 3, Opp Goutams, Street Number 24, Action Area I, New Town, West Bengal 700156"
211,Electric vehicle charging station,Electric Vehicle Charging Station,"Street Number 30, AF Block(Newtown), Action Area I, New Town, West Bengal 700059"
212,Electric vehicle charging station,Electric Vehicle Charging Station,"Under, Maa Flyover, near Charcoal grill Restaurant, Park Circus, at, Kolkata, West Bengal 700017"
213,Electric vehicle charging station,Electric Vehicle Charging Station,"63, Khudiram Bose Rd, Birendranagar Colony, Belgachia, Kolkata, West Bengal 700037"
214,Electric vehicle charging station,Electric Vehicle Charging Station,"Mehman Kolkata Restaurant, BF Block(Newtown), Action Area 1B, Newtown, NKDA, West Bengal 700156"
215,Electric vehicle charging station,Electric Vehicle Charging Station,"292, R N Guha Road, Dumdum Nagerbazar, Kolkata, West Bengal 700028"
216,Electric vehicle charging station,Electric Vehicle Charging Station,"Millenium Tower, Major Arterial Road(South-East), International Finalcial Hub(CBD), Kadampukur Village, Newtown, Kolkata, West Bengal 700156"
217,Electric vehicle charging station,EESL Charging Station,"Tata Cancer Hospital, DH Block(Newtown), Action Area 1D, Newtown, New Town, West Bengal 700156"
218,Electric vehicle charging station,Mahindra Charging Station,"HFP4+4QC, AE Block(Newtown), Newtown, New Town, West Bengal 700059"
219,Electric vehicle charging station,Electric Vehicle Charging Station,"NH34, Jatragachhi, Deshbandhu Nagar, Newtown, Kolkata, West Bengal 700156"
220,Electric vehicle charging station,NKDA Charging Station,"Unnamed Road, Jatragachhi, Deshbandhu Nagar, Rekjuani, Kolkata, West Bengal 700156"
221,Electric vehicle charging station,Electric Vehicle Charging Station,"%u0995%u09B2%u0995%u09BE%u09A4%u09BE, Ghuni Rd, Action Area IIE, Newtown, New Town, West Bengal 700157"
222,Electric vehicle charging station,Electric Vehicle Charging Station,"Automall, Service Rd, Action Area II, Tali Park, Action Area IID, New Town, West Bengal 700052"
223,Electric vehicle charging station,Electric Vehicle Charging Point,"Plot No.2C, Premises No.10, 097, Street Number 110, BA Block(Newtown), Action Area I, Newtown, New Town, West Bengal 700156"
224,Electric vehicle charging station,Electric Vehicle Charging Station,"Opp.Lake Police Stn./ Indian Oil Corp. H.O, Jodhpur Park, Kolkata, West Bengal 700068"
225,Electric vehicle charging station,Electric Vehicle Charging Station,"Second Floor 1644, Rajdanga Pally, EKTP Phase 3, Sector G, East Kolkata Twp, Kolkata, West Bengal 700107"
226,Electric vehicle charging station,Electric Vehicle Charging Station,"111a, Rishi Bankim Chandra Road, Mahendra Colony, Cantonment, Rajbari, Dum Dum, Kolkata, West Bengal 700028"
227,Electric vehicle charging station,Electric Vehicle Charging Station,"10, Mahendra Colony, Cantonment, Rajbari, Dum Dum, Kolkata, West Bengal 700028"
228,Electric vehicle charging station,Electric Vehicle Charging Station,"Nawabpur (New Town, Action Area IIE, Rekjuani, Kolkata, West Bengal 700135"
229,Electric vehicle charging station,EESL Charging Station,"Street Number 24, Sub-Central Business District(Action Area 1), Action Area I, Newtown, New Town, West Bengal 700156"
230,Electric vehicle charging station,Mahindra Charging Station,"Near Tank No 3, Opp Goutams, Street Number 24, Action Area I, New Town, West Bengal 700156"
231,Electric vehicle charging station,Electric Vehicle Charging Station,"Street Number 30, AF Block(Newtown), Action Area I, New Town, West Bengal 700059"
232,Electric vehicle charging station,Electric Vehicle Charging Station,"Under, Maa Flyover, near Charcoal grill Restaurant, Park Circus, at, Kolkata, West Bengal 700017"
233,Electric vehicle charging station,Electric Vehicle Charging Station,"63, Khudiram Bose Rd, Birendranagar Colony, Belgachia, Kolkata, West Bengal 700037"
234,Electric vehicle charging station,Electric Vehicle Charging Station,"Mehman Kolkata Restaurant, BF Block(Newtown), Action Area 1B, Newtown, NKDA, West Bengal 700156"
235,Electric vehicle charging station,Electric Vehicle Charging Station,"292, R N Guha Road, Dumdum Nagerbazar, Kolkata, West Bengal 700028"
236,Electric vehicle charging station,Electric Vehicle Charging Station,"Millenium Tower, Major Arterial Road(South-East), International Finalcial Hub(CBD), Kadampukur Village, Newtown, Kolkata, West Bengal 700156"
237,Electric vehicle charging station,EESL Charging Station,"Tata Cancer Hospital, DH Block(Newtown), Action Area 1D, Newtown, New Town, West Bengal 700156"
238,Electric vehicle charging station,Mahindra Charging Station,"HFP4+4QC, AE Block(Newtown), Newtown, New Town, West Bengal 700059"
239,Electric vehicle charging station,Electric Vehicle Charging Station,"NH34, Jatragachhi, Deshbandhu Nagar, Newtown, Kolkata, West Bengal 700156"
240,Electric vehicle charging station,NKDA Charging Station,"Unnamed Road, Jatragachhi, Deshbandhu Nagar, Rekjuani, Kolkata, West Bengal 700156"
241,Electric vehicle charging station,Electric Vehicle Charging Station,"%u0995%u09B2%u0995%u09BE%u09A4%u09BE, Ghuni Rd, Action Area IIE, Newtown, New Town, West Bengal 700157"
242,Electric vehicle charging station,Electric Vehicle Charging Station,"Automall, Service Rd, Action Area II, Tali Park, Action Area IID, New Town, West Bengal 700052"
243,Electric vehicle charging station,Electric Vehicle Charging Point,"Plot No.2C, Premises No.10, 097, Street Number 110, BA Block(Newtown), Action Area I, Newtown, New Town, West Bengal 700156"
244,Electric vehicle charging station,Electric Vehicle Charging Station,"Opp.Lake Police Stn./ Indian Oil Corp. H.O, Jodhpur Park, Kolkata, West Bengal 700068"
245,Electric vehicle charging station,Electric Vehicle Charging Station,"Second Floor 1644, Rajdanga Pally, EKTP Phase 3, Sector G, East Kolkata Twp, Kolkata, West Bengal 700107"
246,Electric vehicle charging station,Electric Vehicle Charging Station,"111a, Rishi Bankim Chandra Road, Mahendra Colony, Cantonment, Rajbari, Dum Dum, Kolkata, West Bengal 700028"
247,Electric vehicle charging station,Electric Vehicle Charging Station,"10, Mahendra Colony, Cantonment, Rajbari, Dum Dum, Kolkata, West Bengal 700028"
248,Electric vehicle charging station,Electric Vehicle Charging Station,"Nawabpur (New Town, Action Area IIE, Rekjuani, Kolkata, West Bengal 700135"
249,Electric vehicle charging station,EESL Charging Station,"Street Number 24, Sub-Central Business District(Action Area 1), Action Area I, Newtown, New Town, West Bengal 700156"
250,Electric vehicle charging station,Mahindra Charging Station,"Near Tank No 3, Opp Goutams, Street Number 24, Action Area I, New Town, West Bengal 700156"
251,Electric vehicle charging station,Electric Vehicle Charging Station,"Street Number 30, AF Block(Newtown), Action Area I, New Town, West Bengal 700059"
252,Electric vehicle charging station,Electric Vehicle Charging Station,"Under, Maa Flyover, near Charcoal grill Restaurant, Park Circus, at, Kolkata, West Bengal 700017"
253,Electric vehicle charging station,Electric Vehicle Charging Station,"63, Khudiram Bose Rd, Birendranagar Colony, Belgachia, Kolkata, West Bengal 700037"
254,Electric vehicle charging station,Electric Vehicle Charging Station,"Mehman Kolkata Restaurant, BF Block(Newtown), Action Area 1B, Newtown, NKDA, West Bengal 700156"
255,Electric vehicle charging station,Electric Vehicle Charging Station,"292, R N Guha Road, Dumdum Nagerbazar, Kolkata, West Bengal 700028"
256,Electric vehicle charging station,Electric Vehicle Charging Station,"Millenium Tower, Major Arterial Road(South-East), International Finalcial Hub(CBD), Kadampukur Village, Newtown, Kolkata, West Bengal 700156"
257,Electric vehicle charging station,EESL Charging Station,"Tata Cancer Hospital, DH Block(Newtown), Action Area 1D, Newtown, New Town, West Bengal 700156"
258,Electric vehicle charging station,Mahindra Charging Station,"HFP4+4QC, AE Block(Newtown), Newtown, New Town, West Bengal 700059"
259,Electric vehicle charging station,Electric Vehicle Charging Station,"NH34, Jatragachhi, Deshbandhu Nagar, Newtown, Kolkata, West Bengal 700156"
